Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],iBAQ E1,iBAQ E2,iBAQ E3,iBAQ E4,iBAQ mass E1,iBAQ mass E2,iBAQ mass E3,iBAQ mass E4,Mori sector,wt_mass_fraction_rich,rela_mass_fraction_rich
P69441,Adenylate kinase,adk,23.586,1729700.0,1710900.0,1784100.0,1922600.0,40796704.199999996,40353287.4,42079782.599999994,45346443.599999994,A,,
P37127,Protein AegA,aegA,71.843,705.15,679.37,0.0,801.78,50660.09145,48807.978910000005,0.0,57602.28054,U,,
P50466,Aerotaxis receptor,aer,55.065,51364.0,60402.0,0.0,0.0,2828358.6599999997,3326036.13,0.0,0.0,C,,
P42909,N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 1,agaB,17.622,12719.0,10394.0,18280.0,9590.2,224134.218,183163.068,322130.16,168998.5044,U,,
P0ACK2,Putative aga operon transcriptional repressor,agaR,29.572,28849.0,29057.0,65424.0,67823.0,853122.628,859273.6039999999,1934718.528,2005661.756,S',,
P42904,N-acetylgalactosamine-specific phosphotransferase enzyme IIB component 2,agaV,17.086,0.0,0.0,2432.4,2528.8,0.0,0.0,41559.9864,43207.0768,S,,
P19926,Glucose-1-phosphatase,agp,45.682,22598.0,22021.0,55889.0,60095.0,1032321.836,1005963.322,2553121.298,2745259.79,S,,
P0AE08,Alkyl hydroperoxide reductase subunit C,ahpC,20.761,5433200.0,4948000.0,7824700.0,8059400.0,112798665.2,102725428.0,162448596.7,167321203.4,S,,
P35340,Alkyl hydroperoxide reductase subunit F,ahpF,56.176,564770.0,563190.0,496620.0,520360.0,31726519.52,31637761.44,27898125.12,29231743.36,A',,
P27250,Aldehyde reductase Ahr,ahr,36.501,9424.9,9097.7,59260.0,57250.0,344018.27489999996,332075.14770000003,2163049.26,2089682.2499999998,S,,
P33224,Putative acyl-CoA dehydrogenase AidB,aidB,60.589,0.0,0.0,5545.3,5276.0,0.0,0.0,335984.1817,319667.564,U,,
P45565,Lipopolysaccharide core heptose(II)-phosphate phosphatase,ais,22.256,224.68,0.0,4748.7,5081.2,5000.47808,0.0,105687.06719999999,113087.1872,A',,
P0A959,Glutamate-pyruvate aminotransferase AlaA,alaA,45.517,175850.0,192440.0,139450.0,164410.0,8004164.45,8759291.48,6347345.65,7483449.970000001,S,,
P77434,Glutamate-pyruvate aminotransferase AlaC,alaC,46.216,60891.0,55243.0,89264.0,110430.0,2814138.4560000002,2553110.488,4125425.024,5103632.88,S',,
P00957,Alanine--tRNA ligase,alaS,96.031,1317300.0,1109600.0,1182500.0,1215800.0,126501636.30000001,106555997.60000001,113556657.5,116754489.80000001,R,,
P25553,Lactaldehyde dehydrogenase,aldA,52.272,511530.0,460290.0,380870.0,405660.0,26738696.16,24060278.88,19908836.64,21204659.52,C,,
P37685,Aldehyde dehydrogenase B,aldB,56.306,3025.9,3076.5,21376.0,10808.0,170376.3254,173225.40899999999,1203597.0559999999,608555.248,C,,
P05050,Alpha-ketoglutarate-dependent dioxygenase AlkB,alkB,24.075,0.0,0.0,0.0,1382.1,0.0,0.0,0.0,33274.057499999995,A,,
P75713,(S)-ureidoglycine aminohydrolase,allE,28.73,35568.0,5553.2,100400.0,102170.0,1021868.64,159543.436,2884492.0,2935344.1,U,,
P0ACN4,HTH-type transcriptional repressor AllR,allR,29.269,127240.0,122480.0,187050.0,199410.0,3724187.5599999996,3584867.1199999996,5474766.449999999,5836531.29,A',,
P0A6B4,"Alanine racemase, biosynthetic",alr,39.152,60744.0,51088.0,43329.0,39728.0,2378249.088,2000197.3760000002,1696417.0080000001,1555430.656,R,,
P39265,D-allose-binding periplasmic protein,alsB,32.91,141100.0,134970.0,83612.0,100760.0,4643600.999999999,4441862.699999999,2751670.92,3316011.5999999996,S,,
P42601,Inner membrane protein alx,alx,35.908,13373.0,9908.5,4447.4,8828.9,480197.684,355794.418,159697.23919999998,317028.1412,U,,
P36548,N-acetylmuramoyl-L-alanine amidase AmiA,amiA,31.412,61393.0,63276.0,48523.0,51420.0,1928476.916,1987625.7119999998,1524204.476,1615205.04,R,,
P26365,N-acetylmuramoyl-L-alanine amidase AmiB,amiB,47.985,66500.0,53464.0,79415.0,77894.0,3191002.5,2565470.04,3810728.775,3737743.59,A',,
P63883,N-acetylmuramoyl-L-alanine amidase AmiC,amiC,45.634,58107.0,55559.0,53152.0,58368.0,2651654.838,2535379.406,2425538.3680000002,2663565.312,S',,
P75820,N-acetylmuramoyl-L-alanine amidase AmiD,amiD,31.072,2646.4,2861.2,10715.0,14580.0,82228.9408,88903.2064,332936.48,453029.76,S',,
P0AE12,AMP nucleosidase,amn,53.994,110970.0,106980.0,370230.0,360210.0,5991714.18,5776278.12,19990198.62,19449178.74,S,,
P00811,Beta-lactamase,ampC,41.555,11404.0,10023.0,8615.7,9464.0,473893.22,416505.765,358025.4135,393276.52,U,,
P13016,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",ampD,20.536,60398.0,52845.0,131850.0,151330.0,1240333.328,1085224.9200000002,2707671.6,3107712.8800000004,U,,
P0AE14,Protein AmpE,ampE,32.122,46575.0,45351.0,48704.0,53515.0,1496082.15,1456764.822,1564469.888,1719008.83,S,,
P0AE16,Protein AmpG,ampG,53.245,5243.8,2334.3,5990.9,5889.5,279206.131,124289.80350000001,318985.47049999994,313586.4275,U,,
P0AD70,D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH,ampH,41.849,42094.0,44775.0,35745.0,37955.0,1761591.8059999999,1873788.9749999999,1495892.505,1588378.795,U,,
P26612,Cytoplasmic alpha-amylase,amyA,56.639,7121.0,6114.0,38741.0,44933.0,403326.319,346290.846,2194251.4990000003,2544960.187,S,,
P77570,Anhydro-N-acetylmuramic acid kinase,anmK,39.496,31931.0,33106.0,52437.0,61146.0,1261146.776,1307554.5760000001,2071051.752,2415022.416,S,,
P0A962,L-asparaginase 1,ansA,37.127,162940.0,157520.0,113840.0,89621.0,6049473.380000001,5848245.04,4226537.680000001,3327358.867,R,,
P00805,L-asparaginase 2,ansB,36.85,30485.0,56962.0,4459.7,4433.1,1123372.25,2099049.7,164339.945,163359.73500000002,U,,
P77610,L-asparagine permease,ansP,54.232,4193.4,3738.1,1650.2,1926.2,227416.46879999997,202724.6392,89493.6464,104461.6784,U,,
P62672,Protein ApaG,apaG,13.867,9865.3,6343.4,22450.0,24740.0,136802.1151,87963.9278,311314.15,343069.58,S,,
P05637,Bis(5-nucleosyl)-tetraphosphatase [symmetrical],apaH,31.296,66746.0,61185.0,50215.0,53743.0,2088882.8159999999,1914845.76,1571528.64,1681940.928,S,,
P0AE22,Class B acid phosphatase,aphA,26.103,53193.0,53601.0,60230.0,67675.0,1388496.8790000002,1399146.9030000002,1572183.6900000002,1766520.5250000001,S,,
P07102,Periplasmic AppA protein;Phosphoanhydride phosphohydrolase;4-phytase,appA,47.056,6599.5,7368.2,40792.0,28634.0,310546.072,346718.0192,1919508.352,1347401.504,R,,
P26459,Cytochrome bd-II ubiquinol oxidase subunit 1,appC,57.919,0.0,0.0,12010.0,17072.0,0.0,0.0,695607.19,988793.168,U,,
P05052,HTH-type transcriptional regulator AppY,appY,28.763,230730.0,260910.0,372540.0,21479.0,6636486.99,7504554.33,10715368.020000001,617800.4770000001,U,,
P69503,Adenine phosphoribosyltransferase,apt,19.859,310700.0,382620.0,235940.0,273840.0,6170191.300000001,7598450.580000001,4685532.46,5438188.5600000005,R,,
P0A9E0,Arabinose operon regulatory protein,araC,33.384,13309.0,8480.2,7427.7,9154.4,444307.656,283102.9968,247966.3368,305610.4896,U,,
P02924,L-arabinose-binding periplasmic protein,araF,35.54,6212.1,6944.7,3988.8,2572.9,220778.034,246814.63799999998,141761.952,91440.866,S,,
P0A9Q1,Aerobic respiration control protein ArcA,arcA,27.292,1128000.0,1073400.0,1333300.0,1386400.0,30785376.0,29295232.8,36388423.6,37837628.800000004,S',,
P0AEC3,Aerobic respiration control sensor protein ArcB,arcB,87.982,48794.0,41656.0,66243.0,82820.0,4292993.708,3664978.192,5828191.626,7286669.24,S',,
P0A6C5,Amino-acid acetyltransferase,argA,49.195,7413.2,8294.9,39259.0,38645.0,364692.374,408067.6055,1931346.5050000001,1901140.775,A,,
P0A6C8,Acetylglutamate kinase,argB,27.159,81790.0,77024.0,284010.0,282720.0,2221334.61,2091894.8159999999,7713427.59,7678392.4799999995,A,,
P11446,N-acetyl-gamma-glutamyl-phosphate reductase,argC,35.952,26161.0,25244.0,104990.0,111770.0,940540.272,907572.288,3774600.48,4018355.0399999996,A,,
P18335,Acetylornithine/succinyldiaminopimelate aminotransferase,argD,43.766,176270.0,170750.0,212630.0,305100.0,7714632.819999999,7473044.5,9305964.58,13353006.6,A,,
P23908,Acetylornithine deacetylase,argE,42.347,85927.0,81882.0,341980.0,376520.0,3638750.669,3467457.054,14481827.06,15944492.440000001,A,,
P0A6E4,Argininosuccinate synthase,argG,49.898,225730.0,221660.0,567270.0,593120.0,11263475.540000001,11060390.680000002,28305638.46,29595501.76,A,,
P11447,Argininosuccinate lyase,argH,50.318,99500.0,93137.0,257960.0,234430.0,5006641.0,4686467.566,12980031.28,11796048.74,A,,
P04391;P06960,Ornithine carbamoyltransferase chain I;Ornithine carbamoyltransferase chain F,argI;argF,36.907,117190.0,112720.0,98985.0,113230.0,4325131.329999999,4160157.0399999996,3653239.3949999996,4178979.6099999994,S,,
P0A8S1,HTH-type transcriptional regulator ArgP,argP,33.471,137640.0,125420.0,236480.0,244080.0,4606948.4399999995,4197932.819999999,7915222.079999999,8169601.679999999,A,,
P0A6D0,Arginine repressor,argR,16.994,198250.0,159750.0,175590.0,195580.0,3369060.5,2714791.5,2983976.46,3323686.52,C,,
P11875,Arginine--tRNA ligase,argS,64.682,437700.0,423210.0,311100.0,334580.0,28311311.400000002,27374069.220000003,20122570.2,21641303.560000002,R,,
P09551,Lysine/arginine/ornithine-binding periplasmic protein,argT,27.991,200260.0,162280.0,671080.0,722760.0,5605477.66,4542379.4799999995,18784200.28,20230775.16,S,,
P75993,Probable two-component-system connector protein AriR,ariR,9.6939,0.0,0.0,0.0,1753.2,0.0,0.0,0.0,16995.34548,U,,
P77398,"Bifunctional polymyxin resistance protein ArnA;UDP-4-amino-4-deoxy-L-arabinose formyltransferase;UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating",arnA,74.288,0.0,279.12,9300.0,9477.6,0.0,20735.26656,690878.4,704071.9488,S,,
P77690,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,arnB,42.237,1905.6,1252.0,23779.0,32827.0,80486.8272,52880.724,1004353.623,1386513.999,S,,
P77757,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,arnC,36.339,0.0,0.0,4021.9,7267.9,0.0,0.0,146151.8241,264108.2181,A,,
P0A6D3,3-phosphoshikimate 1-carboxyvinyltransferase,aroA,46.095,391210.0,384980.0,695410.0,727630.0,18032824.95,17745653.099999998,32054923.95,33540104.849999998,A,,
P07639,3-dehydroquinate synthase,aroB,38.881,118570.0,117910.0,213320.0,244990.0,4610120.17,4584458.71,8294094.92,9525456.19,S',,
P12008,Chorismate synthase,aroC,39.137,227640.0,205280.0,218130.0,206470.0,8909146.68,8034043.36,8536953.81,8080616.39,S,,
P05194,3-dehydroquinate dehydratase,aroD,27.466,199450.0,194430.0,613060.0,638090.0,5478093.7,5340214.38,16838305.96,17525779.94,S,,
P15770,Shikimate dehydrogenase (NADP(+)),aroE,29.413,93445.0,90519.0,153850.0,178710.0,2748497.785,2662435.347,4525190.05,5256397.23,A',,
P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",aroF,38.804,55330.0,46919.0,102950.0,113470.0,2147025.3200000003,1820644.8760000002,3994871.8000000003,4403089.88,U,,
P0AB91,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",aroG,38.009,779420.0,708730.0,1795300.0,1891500.0,29624974.78,26938118.57,68237557.7,71894023.5,U,,
P00887,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",aroH,38.735,436830.0,453240.0,291520.0,258930.0,16920610.05,17556251.4,11292027.2,10029653.55,R,,
P0A6D7,Shikimate kinase 1,aroK,19.538,991350.0,968160.0,597630.0,674300.0,19368996.3,18915910.080000002,11676494.94,13174473.4,R,,
P0A6E1,Shikimate kinase 2,aroL,19.151,76034.0,69023.0,59064.0,64677.0,1456127.134,1321859.473,1131134.6639999999,1238629.227,R,,
P0AE28,Protein AroM,aroM,24.917,21171.0,25903.0,12371.0,16602.0,527517.807,645425.0510000001,308248.207,413672.03400000004,C',,
P15993,Aromatic amino acid transport protein AroP,aroP,49.69,19564.0,18303.0,50217.0,49192.0,972135.1599999999,909476.07,2495282.73,2444350.48,C',,
P0AB93,Arsenical pump membrane protein,arsB,45.497,5081.1,13506.0,19821.0,18856.0,231174.80670000002,614482.482,901796.037,857891.432,U,,
P0AB96,Arsenate reductase,arsC,15.853,439470.0,425900.0,454810.0,494870.0,6966917.91,6751792.7,7210102.93,7845174.11,U,,
P37309,Arsenical resistance operon repressor,arsR,13.252,58421.0,50883.0,50666.0,62966.0,774195.0920000001,674301.5160000001,671425.832,834425.432,U,,
P30859,Putative ABC transporter arginine-binding protein 2,artI,26.929,615030.0,546950.0,851070.0,884500.0,16562142.87,14728816.549999999,22918464.029999997,23818700.5,S',,
P30860,ABC transporter arginine-binding protein 1,artJ,26.829,211260.0,213350.0,451320.0,429980.0,5667894.54,5723967.15,12108464.280000001,11535933.42,A,,
P0AE30,Arginine ABC transporter permease protein ArtM,artM,24.913,19622.0,3770.3,38156.0,28605.0,488842.886,93929.4839,950580.428,712636.365,U,,
P0AAF6,Arginine transport ATP-binding protein ArtP,artP,27.022,210560.0,202730.0,253060.0,263970.0,5689752.319999999,5478170.06,6838187.319999999,7132997.34,R,,
P0AE34,Arginine ABC transporter permease protein ArtQ,artQ,26.217,66046.0,62591.0,49535.0,59616.0,1731527.9819999998,1640948.247,1298659.095,1562952.672,R,,
P24242,HTH-type transcriptional regulator AscG,ascG,36.813,7676.4,5410.5,8914.2,8823.8,282591.31320000003,199176.7365,328158.44460000005,324830.5494,U,,
P0A9Q9,Aspartate-semialdehyde dehydrogenase,asd,40.017,603060.0,648090.0,1683400.0,1818500.0,24132652.020000003,25934617.53,67364617.80000001,72770914.5,A,,
P28249,Protein AsmA,asmA,68.962,33712.0,34711.0,73761.0,71049.0,2324846.944,2393739.9820000003,5086706.082,4899681.138,S',,
P00963,Aspartate--ammonia ligase,asnA,36.65,1094100.0,1821900.0,336300.0,380870.0,40098765.0,66772635.0,12325395.0,13958885.5,A,,
P22106,Asparagine synthetase B [glutamine-hydrolyzing],asnB,62.658,478140.0,798100.0,609550.0,672480.0,29959296.12,50007349.800000004,38193183.9,42136251.84,A,,
P0ACI6,Regulatory protein AsnC,asnC,16.887,21858.0,22448.0,22224.0,24510.0,369116.04600000003,379079.376,375296.688,413900.37,U,,
P0A8M0,Asparagine--tRNA ligase,asnS,52.57,1780000.0,1702600.0,1934800.0,2020000.0,93574600.0,89505682.0,101712436.0,106191400.0,U,,
P0AC38,Aspartate ammonia-lyase,aspA,52.356,506840.0,513970.0,97219.0,98800.0,26536115.04,26909413.32,5089997.964000001,5172772.8,C,,
P00509,Aspartate aminotransferase,aspC,43.573,1543300.0,1487400.0,2266000.0,2387000.0,67246210.9,64810480.2,98736418.0,104008751.0,A,,
P21889,Aspartate--tRNA ligase,aspS,65.913,985170.0,932390.0,866150.0,946550.0,64935510.20999999,61456622.07,57090544.949999996,62389950.15,R,,
P0AE37,Arginine N-succinyltransferase,astA,38.455,6066.5,5729.6,16881.0,16763.0,233287.25749999998,220331.768,649158.855,644621.1649999999,U,,
P76216,N-succinylarginine dihydrolase,astB,49.298,0.0,368.96,4117.1,6205.4,0.0,18188.99008,202964.79580000002,305913.8092,S,,
P77581,Succinylornithine transaminase,astC,43.665,27003.0,20820.0,99816.0,92452.0,1179085.9949999999,909105.2999999999,4358465.64,4036916.58,S,,
P76217,N-succinylglutamate 5-semialdehyde dehydrogenase,astD,53.026,2711.7,2110.6,16724.0,17888.0,143790.6042,111916.6756,886806.824,948529.0880000001,S,,
P0AFP2,DNA base-flipping protein,atl,14.449,2651.8,2804.1,4775.3,5894.8,38315.8582,40516.4409,68998.3097,85173.9652,U,,
Q06065,Acetoacetate metabolism regulatory protein AtoC,atoC,52.176,2725.4,2432.2,3406.0,3261.7,142200.47040000002,126902.4672,177711.456,170182.45919999998,C,,
P0ABB0,ATP synthase subunit alpha,atpA,55.221,4906000.0,4640600.0,3615900.0,3942400.0,270914226.0,256258572.6,199673613.89999998,217703270.39999998,S,,
P0AB98,ATP synthase subunit a,atpB,30.303,266240.0,236080.0,150640.0,180220.0,8067870.720000001,7153932.24,4564843.92,5461206.66,U,,
P0A6E6,ATP synthase epsilon chain,atpC,15.068,3287300.0,3077500.0,2265100.0,2496000.0,49533036.4,46371770.0,34130526.8,37609728.0,C,,
P0ABB4,ATP synthase subunit beta,atpD,50.325,5265900.0,5111200.0,4099600.0,4073400.0,265006417.50000003,257221140.0,206312370.0,204993855.0,C,,
P68699,ATP synthase subunit c,atpE,8.256,2127200.0,2285600.0,1941700.0,1824300.0,17562163.2,18869913.6,16030675.200000001,15061420.8,S',,
P0ABA0,ATP synthase subunit b,atpF,17.264,3360000.0,3136500.0,2069200.0,2300500.0,58007040.0,54148536.0,35722668.8,39715832.0,C,,
P0ABA6,ATP synthase gamma chain,atpG,31.577,1288400.0,1258200.0,996790.0,1044400.0,40683806.800000004,39730181.4,31475637.830000002,32979018.8,C,,
P0ABA4,ATP synthase subunit delta,atpH,19.332,1147000.0,1152600.0,757590.0,924750.0,22173804.0,22282063.2,14645729.88,17877267.0,S,,
P09053,Valine--pyruvate aminotransferase,avtA,46.711,130860.0,126040.0,92343.0,109400.0,6112601.46,5887454.4399999995,4313433.873,5110183.399999999,A',,
P41407,FMN-dependent NADH-azoreductase,azoR,21.657,147720.0,141890.0,262760.0,289880.0,3199172.04,3072911.73,5690593.32,6277931.16,A,,
P69228,Transcriptional regulatory protein BaeR,baeR,27.656,74300.0,72166.0,174030.0,183790.0,2054840.7999999998,1995822.896,4812973.68,5082896.24,S',,
P30847,Signal transduction histidine-protein kinase BaeS,baeS,51.991,3910.1,3684.5,11180.0,12257.0,203290.0091,191560.8395,581259.38,637253.687,S,,
P0A940,Outer membrane protein assembly factor BamA,bamA,90.552,669790.0,644750.0,712830.0,757320.0,60650824.080000006,58383402.00000001,64548182.160000004,68576840.64,C',,
P77774,Outer membrane protein assembly factor BamB,bamB,41.887,545140.0,626020.0,617380.0,595990.0,22834279.18,26222099.740000002,25860196.06,24964233.13,S,,
P0A903,Outer membrane protein assembly factor BamC,bamC,36.842,837320.0,811900.0,922210.0,889130.0,30848543.439999998,29912019.8,33976060.82,32757327.459999997,S,,
P0AC02,Outer membrane protein assembly factor BamD,bamD,27.829,582470.0,575420.0,640620.0,637440.0,16209557.63,16013363.18,17827813.98,17739317.76,C,,
P0A937,Outer membrane protein assembly factor BamE,bamE,12.302,613430.0,592670.0,722280.0,741770.0,7546415.859999999,7291026.34,8885488.56,9125254.54,S',,
P0AEC5,Signal transduction histidine-protein kinase BarA,barA,102.45,15257.0,14812.0,20289.0,19615.0,1563079.6500000001,1517489.4000000001,2078608.05,2009556.75,C',,
P30843,Transcriptional regulatory protein BasR,basR,25.031,2876.8,2910.3,12423.0,12944.0,72009.1808,72847.7193,310960.113,324001.26399999997,S',,
P30844,Sensor protein BasS,basS,41.029,4079.1,4254.2,16763.0,19179.0,167361.39390000002,174545.5718,687769.1270000001,786895.1910000001,C',,
P0AE52,Putative peroxiredoxin bcp,bcp,17.634,1829200.0,1699800.0,2508100.0,2658900.0,32256112.8,29974273.2,44227835.4,46887042.6,A,,
P28246,Bicyclomycin resistance protein,bcr,43.352,12706.0,9244.7,20418.0,22148.0,550830.512,400776.2344,885161.1359999999,960160.0959999999,U,,
P37653,Cellulose synthase catalytic subunit [UDP-forming],bcsA,99.783,0.0,0.0,889.6,1165.6,0.0,0.0,88766.9568,116307.0648,U,,
P37652,Cyclic di-GMP-binding protein,bcsB,86.023,30550.0,27007.0,93705.0,97814.0,2628002.65,2323223.161,8060785.215,8414253.722,S,,
P37650,Cellulose synthase operon protein C,bcsC,127.72,7356.1,7145.1,32447.0,32630.0,939521.0920000001,912572.172,4144130.84,4167503.6,S,,
P37657,Protein BcsE homolog,bcsE,59.427,2678.8,2052.7,8248.1,8232.9,159193.04760000002,121985.8029,490159.8387,489256.54829999997,R,,
P37659,Protein BcsG homolog,bcsG,62.031,12636.0,11894.0,71665.0,72723.0,783823.716,737796.714,4445451.615,4511080.413,S',,
P37651,Endoglucanase,bcsZ,41.7,6292.3,4231.3,18066.0,17448.0,262388.91000000003,176445.21000000002,753352.2000000001,727581.6000000001,U,,
P39334,HTH-type transcriptional repressor BdcR,bdcR,21.501,41238.0,41706.0,53707.0,54212.0,886658.238,896720.706,1154754.2070000002,1165612.212,A',,
P66948,Beta-barrel assembly-enhancing protease,bepA,53.907,46307.0,45272.0,100530.0,99355.0,2496271.449,2440477.704,5419270.71,5355929.984999999,S,,
P17444,Oxygen-dependent choline dehydrogenase,betA,61.877,5934.0,3747.4,6808.7,7276.6,367178.118,231877.86980000001,421301.9299,450254.1782,U,,
P17445,NAD/NADP-dependent betaine aldehyde dehydrogenase,betB,52.911,35614.0,32653.0,86295.0,73706.0,1884372.354,1727702.8830000001,4565954.745,3899858.166,A',,
P17446,HTH-type transcriptional regulator BetI,betI,21.815,465.18,647.87,1449.0,1893.4,10147.9017,14133.28405,31609.935,41304.52100000001,U,,
P0ABC9,High-affinity choline transport protein,betT,75.841,7546.5,7060.7,16176.0,15894.0,572334.1065,535490.5486999999,1226804.0159999998,1205416.8539999998,U,,
P0ABD3,Bacterioferritin,bfr,18.495,31608.0,25788.0,335310.0,447430.0,584589.9600000001,476949.06,6201558.45,8275217.850000001,S,,
Q46829,6-phospho-beta-glucosidase BglA,bglA,55.36,307250.0,289620.0,231970.0,251550.0,17009360.0,16033363.2,12841859.2,13925808.0,A,,
P33363,Periplasmic beta-glucosidase,bglX,83.459,161250.0,151590.0,179760.0,200510.0,13457763.75,12651549.81,15002589.84,16734364.09,C',,
