Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],iBAQ W_glu_1,iBAQ W_glu_2,iBAQ PLAS30_1,iBAQ PLAS30_2,iBAQ mass W_glu_1,iBAQ mass W_glu_2,iBAQ mass PLAS30_1,iBAQ mass PLAS30_2,Mori sector,wt_mass_fraction_poor,rela_mass_fraction_poor
P00960,Glycine--tRNA ligase alpha subunit,glyQ,34.774,546690.0,541740.0,543820.0,589400.0,19010598.06,18838466.76,18910796.68,20495795.6,R,,
P00961,Glycine--tRNA ligase beta subunit,glyS,76.812,894200.0,909570.0,1034500.0,1049600.0,68685290.39999999,69865890.84,79462014.0,80621875.2,U,,
P00962,Glutamine--tRNA ligase,glnS,63.477,560350.0,567710.0,532060.0,520310.0,35569336.949999996,36036527.67,33773572.62,33027717.869999997,U,,
P00963,Aspartate--ammonia ligase,asnA,36.65,707750.0,697670.0,498440.0,516270.0,25939037.5,25569605.5,18267826.0,18921295.5,A,,
P00968,Carbamoyl-phosphate synthase large chain,carB,117.84,1208500.0,1210900.0,699270.0,682000.0,142409640.0,142692456.0,82401976.8,80366880.0,A,,
P02358,"30S ribosomal protein S6;30S ribosomal protein S6, fully modified isoform;30S ribosomal protein S6, non-modified isoform",rpsF,15.703,6094500.0,6314100.0,4801900.0,4772900.0,95701933.5,99150312.3,75404235.7,74948848.7,R,,
P02359,30S ribosomal protein S7,rpsG,20.019,10547000.0,10263000.0,7103900.0,7320000.0,211140392.99999997,205454996.99999997,142212974.1,146539080.0,R,,
P02413,50S ribosomal protein L15,rplO,14.98,5073800.0,4025700.0,4086900.0,3913700.0,76005524.0,60304986.0,61221762.0,58627226.0,R,,
P02918,Penicillin-binding protein 1A;Penicillin-insensitive transglycosylase;Penicillin-sensitive transpeptidase,mrcA,93.635,100410.0,105510.0,122080.0,69160.0,9401890.35,9879428.85,11430960.8,6475796.600000001,R,,
P02924,L-arabinose-binding periplasmic protein,araF,35.54,9005.1,6831.1,3912.6,3101.5,320041.254,242777.294,139053.804,110227.31,S,,
P02925,D-ribose-binding periplasmic protein,rbsB,30.95,3402000.0,3198800.0,1620400.0,1628200.0,105291900.0,99002860.0,50151380.0,50392790.0,C,,
P02929,Protein TonB,tonB,26.094,107030.0,96059.0,69324.0,72995.0,2792840.8200000003,2506563.546,1808940.456,1904731.53,U,,
P02930,Outer membrane protein TolC,tolC,53.74,745420.0,742970.0,758990.0,762440.0,40058870.800000004,39927207.800000004,40788122.6,40973525.6,A',,
P02931,Outer membrane protein F,ompF,39.333,3196500.0,3069700.0,6009600.0,5590200.0,125727934.5,120740510.1,236375596.79999998,219879336.6,C',,
P02942,Methyl-accepting chemotaxis protein I,tsr,59.442,2771100.0,2571600.0,85140.0,29462.0,164719726.2,152861047.2,5060891.88,1751280.204,U,,
P02943,Maltoporin,lamB,49.912,1199.7,474.58,8212.0,2939.0,59879.426400000004,23687.23696,409877.344,146691.368,A,,
P03004,Chromosomal replication initiator protein DnaA,dnaA,52.55,104340.0,96830.0,108270.0,104540.0,5483067.0,5088416.5,5689588.5,5493577.0,R,,
P03007,DNA polymerase III subunit epsilon,dnaQ,27.099,54907.0,51732.0,9705.9,9445.3,1487924.793,1401885.468,263020.1841,255958.18469999998,C,,
P03018,DNA helicase II,uvrD,81.989,26551.0,21098.0,30781.0,31782.0,2176889.9390000002,1729803.922,2523703.409,2605774.398,C',,
P03023,Lactose operon repressor,lacI,38.59,73206.0,73512.0,22488000.0,24249000.0,2825019.54,2836828.08,867811920.0000001,935768910.0000001,S',,
P03024,HTH-type transcriptional regulator GalR,galR,37.094,27598.0,28267.0,44744.0,44646.0,1023720.212,1048536.098,1659733.936,1656098.7240000002,U,,
P03030,Transcriptional activator protein LysR,lysR,34.364,5564.0,4990.7,3968.2,5469.4,191201.29599999997,171500.41479999997,136363.2248,187950.46159999998,U,,
P03813,Uncharacterized protein YgeA,ygeA,25.248,51977.0,52831.0,85683.0,104340.0,1312315.296,1333877.088,2163324.384,2634376.3200000003,S,,
P03817,Protein MioC,mioC,15.807,256490.0,252560.0,276940.0,252540.0,4054337.43,3992215.92,4377590.58,3991899.7800000003,R,,
P03819,Glutathione-regulated potassium-efflux system protein KefC,kefC,67.795,3935.8,3450.5,7533.9,8830.1,266827.56100000005,233926.6475,510760.75049999997,598636.6295,S,,
P03841,Maltose operon periplasmic protein,malM,31.943,619.35,1333.2,1381.1,0.0,19783.897050000003,42586.407600000006,44116.4773,0.0,A,,
P03960,Potassium-transporting ATPase B chain,kdpB,72.198,101.64,0.0,4896.3,12019.0,7338.20472,0.0,353503.0674,867747.7619999999,C',,
P03961,Potassium-transporting ATPase C chain,kdpC,20.267,1133.3,1190.5,9287.2,9121.1,22968.591099999998,24127.8635,188223.68240000002,184857.3337,S',,
P04036,4-hydroxy-tetrahydrodipicolinate reductase,dapB,28.756,1062800.0,1041800.0,447510.0,426240.0,30561876.8,29958000.8,12868597.56,12256957.44,A,,
P04079,GMP synthase [glutamine-hydrolyzing],guaA,58.679,1009000.0,1028800.0,917920.0,929780.0,59207111.0,60368955.2,53862627.68,54558560.620000005,R,,
P04335,Esterase FrsA,frsA,47.008,71276.0,71231.0,141790.0,139530.0,3350542.208,3348426.848,6665264.32,6559026.24,S',,
P04391;P06960,Ornithine carbamoyltransferase chain I;Ornithine carbamoyltransferase chain F,argI;argF,36.907,649630.0,630390.0,213740.0,214120.0,23975894.409999996,23265803.729999997,7888502.18,7902526.839999999,S,,
P04425,Glutathione synthetase,gshB,35.56,274080.0,260490.0,340750.0,314320.0,9746284.8,9263024.4,12117070.0,11177219.200000001,S',,
P04693,Aromatic-amino-acid aminotransferase,tyrB,43.537,552690.0,684840.0,1152600.0,1235800.0,24062464.53,29815879.08,50180746.199999996,53803024.6,S,,
P04805,Glutamate--tRNA ligase,gltX,53.815,689580.0,704350.0,651570.0,672510.0,37109747.699999996,37904595.25,35064239.55,36191125.65,A',,
P04816,Leucine-specific-binding protein,livK,39.378,1374200.0,1611000.0,493920.0,557290.0,54113247.6,63437958.0,19449581.76,21944965.62,C',,
P04825,Aminopeptidase N,pepN,98.918,335140.0,334980.0,542680.0,619750.0,33151378.520000003,33135551.64,53680820.24,61304430.50000001,S,,
P04846,Lipoprotein 28,nlpA,29.423,685160.0,688880.0,465680.0,455440.0,20159462.68,20268916.24,13701702.639999999,13400411.12,A',,
P04949,Flagellin,fliC,51.294,5505100.0,5084700.0,171520.0,36245.0,282378599.4,260814601.79999998,8797946.879999999,1859151.0299999998,C,,
P04951,3-deoxy-manno-octulosonate cytidylyltransferase,kdsB,27.614,277160.0,296610.0,238050.0,236540.0,7653496.24,8190588.54,6573512.7,6531815.5600000005,A',,
P04968,L-threonine dehydratase biosynthetic IlvA,ilvA,56.195,1012100.0,1011500.0,1663500.0,1745400.0,56874959.5,56841242.5,93480382.5,98082753.0,S,,
P04982,D-ribose pyranase,rbsD,15.292,788840.0,688330.0,469820.0,454080.0,12062941.28,10525942.36,7184487.4399999995,6943791.36,C,,
P04983,Ribose import ATP-binding protein RbsA,rbsA,55.041,300440.0,290860.0,143120.0,137890.0,16536518.04,16009225.26,7877467.92,7589603.489999999,C,,
P04993,RecBCD enzyme subunit RecD,recD,66.902,39140.0,29712.0,32818.0,29390.0,2618544.2800000003,1987792.224,2195589.836,1966249.78,U,,
P04994,Exodeoxyribonuclease 7 large subunit,xseA,51.832,31543.0,31285.0,38381.0,38095.0,1634936.776,1621564.12,1989363.992,1974540.04,S',,
P04995,Exodeoxyribonuclease I,sbcB,54.5,39709.0,28464.0,35718.0,54797.0,2164140.5,1551288.0,1946631.0,2986436.5,R,,
P05020,Dihydroorotase,pyrC,38.827,411340.0,395580.0,386650.0,391430.0,15971098.18,15359184.66,15012459.549999999,15198052.61,A,,
P05041,Aminodeoxychorismate synthase component 1,pabB,50.969,52985.0,41915.0,24364.0,22863.0,2700592.465,2136365.6350000002,1241808.716,1165304.247,A',,
P05042,Fumarate hydratase class II,fumC,50.488,165610.0,185970.0,328520.0,336770.0,8361317.68,9389253.36,16586317.76,17002843.76,S,,
P05050,Alpha-ketoglutarate-dependent dioxygenase AlkB,alkB,24.075,4895.2,0.0,4585.4,702.95,117851.93999999999,0.0,110393.50499999999,16923.52125,A,,
P05052,HTH-type transcriptional regulator AppY,appY,28.763,194430.0,222180.0,221540.0,224620.0,5592390.090000001,6390563.340000001,6372155.0200000005,6460745.0600000005,U,,
P05055,Polyribonucleotide nucleotidyltransferase,pnp,77.1,1698500.0,1651200.0,1561900.0,1518200.0,130954349.99999999,127307519.99999999,120422489.99999999,117053219.99999999,R,,
P05100,DNA-3-methyladenine glycosylase 1,tag,21.1,12132.0,7246.1,28366.0,29639.0,255985.2,152892.71000000002,598522.6000000001,625382.9,S',,
P05194,3-dehydroquinate dehydratase,aroD,27.466,386940.0,379730.0,709290.0,744150.0,10627694.040000001,10429664.18,19481359.14,20438823.900000002,S,,
P05458,Protease 3,ptrA,107.71,45118.0,42167.0,55470.0,61514.0,4859659.779999999,4541807.569999999,5974673.699999999,6625672.9399999995,S,,
P05459,Erythronate-4-phosphate dehydrogenase,pdxB,41.367,402360.0,444690.0,447140.0,460160.0,16644426.12,18395491.23,18496840.38,19035438.72,S,,
P05523,Formamidopyrimidine-DNA glycosylase,mutM,30.29,13209.0,9934.7,8074.1,10464.0,400100.61,300922.063,244564.489,316954.56,U,,
P05637,Bis(5-nucleosyl)-tetraphosphatase [symmetrical],apaH,31.296,51868.0,50528.0,53070.0,43860.0,1623260.928,1581324.288,1660878.72,1372642.56,S,,
P05704,Methyl-accepting chemotaxis protein III,trg,58.898,216870.0,223490.0,80960.0,89353.0,12773209.26,13163114.020000001,4768382.08,5262712.994,C,,
P05706,Glucitol/sorbitol-specific phosphotransferase enzyme IIA component,srlB,13.304,21465.0,19539.0,20462.0,22140.0,285570.36,259946.856,272226.44800000003,294550.56,C,,
P05719,Type-1 restriction enzyme EcoKI specificity protein,hsdS,51.395,81488.0,79026.0,41720.0,43011.0,4188075.7600000002,4061541.27,2144199.4,2210550.345,U,,
P05791,Dihydroxy-acid dehydratase,ilvD,65.531,1997700.0,1969000.0,2860700.0,3029500.0,130911278.70000002,129030539.00000001,187464531.70000002,198526164.50000003,A',,
P05793,Ketol-acid reductoisomerase,ilvC,54.068,4017500.0,4128000.0,3972400.0,4159000.0,217218190.0,223192704.0,214779723.2,224868812.0,U,,
P05804,Beta-glucuronidase,uidA,68.446,451.4,0.0,76319.0,71570.0,30896.5244,0.0,5223730.274,4898680.22,C,,
P05824,DNA repair protein RecN,recN,61.396,319.13,150.8,0.0,35.674,19593.30548,9258.516800000001,0.0,2190.240904,U,,
P05825,Ferrienterobactin receptor,fepA,82.106,228470.0,282710.0,159490.0,155160.0,18758757.82,23212187.259999998,13095085.94,12739566.959999999,U,,
P05827,HTH-type transcriptional regulator IlvY,ilvY,33.204,8918.6,7994.3,4996.5,10024.0,296133.19440000004,265442.73720000003,165903.786,332836.896,C',,
P05852,tRNA N6-adenosine threonylcarbamoyltransferase,tsaD,36.008,133330.0,145350.0,113480.0,99048.0,4800946.640000001,5233762.800000001,4086187.8400000003,3566520.384,R,,
P06129,Vitamin B12 transporter BtuB,btuB,68.406,560720.0,539750.0,383940.0,358750.0,38356612.32,36922138.5,26263799.64,24540652.500000004,S,,
P06136,Cell division protein FtsQ,ftsQ,31.433,63191.0,66743.0,37972.0,70617.0,1986282.703,2097932.719,1193573.876,2219704.161,S',,
P06149,D-lactate dehydrogenase,dld,64.612,162820.0,169570.0,244230.0,249110.0,10520125.84,10956256.84,15780188.759999998,16095495.319999998,S,,
P06282,CDP-diacylglycerol pyrophosphatase,cdh,28.45,67756.0,71617.0,46589.0,57069.0,1927658.2,2037503.65,1325457.05,1623613.05,R,,
P06610,Vitamin B12 transport periplasmic protein BtuE,btuE,20.469,179970.0,165880.0,489360.0,551910.0,3683805.93,3395397.72,10016709.84,11297045.790000001,S,,
P06611,Vitamin B12 import ATP-binding protein BtuD,btuD,27.081,12200.0,10932.0,11684.0,10980.0,330388.2,296049.49199999997,316414.404,297349.38,C,,
P06612,DNA topoisomerase 1,topA,97.349,173890.0,184630.0,209560.0,213680.0,16928017.61,17973545.87,20400456.44,20801534.32,A',,
P06616,GTPase Era,era,33.81,235700.0,240120.0,159570.0,106890.0,7969017.000000001,8118457.2,5395061.7,3613950.9000000004,R,,
P06709,Bifunctional ligase/repressor BirA,birA,35.312,20478.0,19307.0,19151.0,30086.0,723119.1359999999,681768.784,676260.112,1062396.832,S',,
P06710,DNA polymerase III subunit tau,dnaX,71.137,45026.0,39827.0,67720.0,54286.0,3203014.562,2833173.299,4817397.64,3861743.182,S',,
P06715,Glutathione reductase,gor,48.772,347900.0,353550.0,435700.0,428670.0,16967778.8,17243340.599999998,21249960.4,20907093.24,S,,
P06721,Cystathionine beta-lyase MetC,metC,43.212,409120.0,382700.0,314540.0,320360.0,17678893.44,16537232.4,13591902.48,13843396.32,A,,
P06846,HTH-type transcriptional regulator EbgR,ebgR,36.21,31636.0,34263.0,34513.0,33427.0,1145539.56,1240663.23,1249715.73,1210391.67,S',,
P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,aceF,66.095,1671300.0,1667600.0,1465500.0,1543800.0,110464573.5,110220022.0,96862222.5,102037461.0,A,,
P06961,"Multifunctional CCA protein;CCA-adding enzyme;2-nucleotidase;2,3-cyclic phosphodiesterase;Phosphatase",cca,46.467,59509.0,35709.0,80714.0,88917.0,2765204.7029999997,1659290.103,3750537.438,4131706.239,S',,
P06966,HTH-type transcriptional regulator DicA,dicA,15.656,19367.0,14167.0,18915.0,19923.0,303209.75200000004,221798.552,296133.24,311914.488,S',,
P06968,Deoxyuridine 5-triphosphate nucleotidohydrolase,dut,16.286,330300.0,323710.0,314650.0,304540.0,5379265.800000001,5271941.0600000005,5124389.9,4959738.44,A',,
P06971,Ferrichrome-iron receptor,fhuA,82.181,521810.0,551230.0,589970.0,634720.0,42882867.61,45300632.629999995,48484324.57,52161924.32,C,,
P06972,Iron(3+)-hydroxamate import system permease protein FhuB,fhuB,70.422,3283.4,4456.8,3027.8,2846.3,231223.5948,313856.7696,213223.7316,200442.1386,U,,
P06974,Flagellar motor switch protein FliM,fliM,37.849,263770.0,244410.0,9895.8,8698.7,9983430.729999999,9250674.09,374546.1341999999,329237.0963,C,,
P06983,Porphobilinogen deaminase,hemC,33.851,160620.0,157580.0,202370.0,236270.0,5437147.62,5334240.58,6850426.87,7997975.77,S',,
P06986,Histidinol-phosphate aminotransferase,hisC,39.36,753730.0,667670.0,1355900.0,1596500.0,29666812.8,26279491.2,53368224.0,62838240.0,A,,
P06987,Histidine biosynthesis bifunctional protein HisB;Histidinol-phosphatase;Imidazoleglycerol-phosphate dehydratase,hisB,40.278,1175100.0,1142600.0,2016700.0,2140900.0,47330677.8,46021642.8,81228642.6,86231170.2,A,,
P06988,Histidinol dehydrogenase,hisD,46.11,1204400.0,1113900.0,1855800.0,1995500.0,55534884.0,51361929.0,85570938.0,92012505.0,A,,
P06989,Histidine biosynthesis bifunctional protein HisIE;Phosphoribosyl-AMP cyclohydrolase;Phosphoribosyl-ATP pyrophosphatase,hisI,22.756,1475200.0,1367900.0,2056300.0,2202400.0,33569651.2,31127932.4,46793162.8,50117814.4,A,,
P06992,Ribosomal RNA small subunit methyltransferase A,rsmA,30.42,138150.0,130500.0,101410.0,101130.0,4202523.0,3969810.0,3084892.2,3076374.6,R,,
P06993,HTH-type transcriptional regulator MalT,malT,103.12,38798.0,144350.0,108810.0,114660.0,4000849.7600000002,14885372.0,11220487.200000001,11823739.200000001,C,,
P06996,Outer membrane protein C,ompC,40.368,208230.0,140270.0,1814200.0,1971100.0,8405828.64,5662419.36,73235625.60000001,79569364.8,S',,
P06999,ATP-dependent 6-phosphofructokinase isozyme 2,pfkB,32.456,66931.0,51666.0,371240.0,379120.0,2172312.5360000003,1676871.6960000002,12048965.440000001,12304718.72,A',,
P07000,Lysophospholipase L2,pldB,38.978,10872.0,9142.4,14402.0,15590.0,423768.816,356352.4672,561361.1560000001,607667.02,U,,
P07001,NAD(P) transhydrogenase subunit alpha,pntA,54.623,2324600.0,2319900.0,1430400.0,1447200.0,126976625.8,126719897.69999999,78132739.2,79050405.6,A,,
P07003,Pyruvate dehydrogenase [ubiquinone];Alpha-peptide,poxB,62.011,11489.0,11187.0,96569.0,110260.0,712444.3790000001,693717.057,5988340.259000001,6837332.86,S,,
P07004,Gamma-glutamyl phosphate reductase,proA,44.63,315470.0,318210.0,521480.0,549310.0,14079426.100000001,14201712.3,23273652.400000002,24515705.3,S',,
P07012,Peptide chain release factor 2,prfB,41.25,458840.0,510760.0,482520.0,449380.0,18927150.0,21068850.0,19903950.0,18536925.0,R,,
P07013,Primosomal replication protein n,priB,11.442,54444.0,53551.0,38249.0,30060.0,622948.248,612730.542,437645.058,343946.52,U,,
P07014,Succinate dehydrogenase iron-sulfur subunit,sdhB,26.77,2773800.0,2679200.0,2347600.0,2329200.0,74254626.0,71722184.0,62845252.0,62352684.0,C,,
P07017,Methyl-accepting chemotaxis protein II,tar,59.943,2193200.0,1845800.0,66951.0,24732.0,131466987.6,110642789.39999999,4013243.793,1482510.2759999998,C,,
P07018,Methyl-accepting chemotaxis protein IV,tap,57.511,621020.0,614940.0,14758.0,1830.7,35715481.22,35365814.34,848747.338,105285.3877,C,,
P07021,Putative lipoprotein YfiB,yfiB,17.244,17418.0,17626.0,22799.0,23760.0,300355.99199999997,303942.744,393145.956,409717.44,U,,
P07023,T-protein;Chorismate mutase;Prephenate dehydrogenase,tyrA,42.042,474560.0,498020.0,182200.0,157830.0,19951451.52,20937756.84,7660052.4,6635488.86,R,,
P07024,Protein UshA;UDP-sugar hydrolase;5-nucleotidase,ushA,60.823,87542.0,92364.0,152110.0,166340.0,5324567.066,5617855.572,9251786.53,10117297.82,S,,
P07026,Regulatory protein SdiA,sdiA,28.117,1294.2,1535.7,4549.2,4648.0,36389.021400000005,43179.276900000004,127909.8564,130687.816,U,,
P07102,Periplasmic AppA protein;Phosphoanhydride phosphohydrolase;4-phytase,appA,47.056,9395.4,11947.0,25532.0,22382.0,442109.94239999994,562178.032,1201433.792,1053207.392,R,,
P07109,Histidine transport ATP-binding protein HisP,hisP,28.653,463860.0,429510.0,322700.0,291600.0,13290980.58,12306750.03,9246323.1,8355214.8,S,,
P07117,Sodium/proline symporter,putP,54.344,309440.0,293270.0,147670.0,167890.0,16816207.36,15937464.88,8024978.48,9123814.16,C,,
P07118,Valine--tRNA ligase,valS,108.19,751380.0,773750.0,751900.0,766640.0,81291802.2,83712012.5,81348061.0,82942781.6,U,,
P07330,Chemotaxis response regulator protein-glutamate methylesterase,cheB,37.467,257500.0,234780.0,2895.8,1104.2,9647752.5,8796502.26,108496.93860000001,41371.0614,C,,
